"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15"
"31";30;"Private,";53285;"HS-grad,";9;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"32";37;"Private,";167777;"HS-grad,";9;"Married-civ-spouse,";"Transport-moving,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"33";53;"Private,";290688;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"34";29;"Private,";102345;"Some-college,";10;"Never-married,";"Tech-support,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"35";26;"Private,";244372;"HS-grad,";9;"Married-civ-spouse,";"Adm-clerical,";"Wife,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"36";35;"Local-gov,";387777;"Assoc-acdm,";12;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"37";50;"Local-gov,";226497;"Some-college,";10;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"38";27;"Private,";211184;"HS-grad,";9;"Never-married,";"Adm-clerical,";"Not-in-family,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"39";29;"Private,";174645;"11th,";7;"Divorced,";"Craft-repair,";"Unmarried,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"40";46;"Local-gov,";398986;"Doctorate,";16;"Married-civ-spouse,";"Prof-specialty,";"Wife,";"White,";"Female,";0;1902;52;"United-States,";">50K"
"41";47;"Private,";175925;"10th,";6;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;2179;52;"United-States,";"<=50K"
"42";59;"Private,";291529;"10th,";6;"Widowed,";"Machine-op-inspct,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"43";26;"Private,";210714;"HS-grad,";9;"Married-civ-spouse,";"Transport-moving,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"44";41;"Private,";103980;"Some-college,";10;"Married-civ-spouse,";"Prof-specialty,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"45";28;"Private,";271572;"9th,";5;"Never-married,";"Other-service,";"Other-relative,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"46";36;"Private,";41017;"Some-college,";10;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"47";44;"Local-gov,";433705;"HS-grad,";9;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"48";71;"Private,";110380;"HS-grad,";9;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;2467;52;"United-States,";"<=50K"
"49";19;"Private,";60661;"HS-grad,";9;"Never-married,";"Handlers-cleaners,";"Own-child,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"50";53;"Private,";31588;"Bachelors,";13;"Married-civ-spouse,";"Prof-specialty,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"51";44;"Local-gov,";56651;"Bachelors,";13;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"52";47;"Private,";374580;"HS-grad,";9;"Separated,";"Sales,";"Not-in-family,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"53";38;"Private,";102945;"Bachelors,";13;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"54";46;"Private,";31432;"HS-grad,";9;"Married-civ-spouse,";"Adm-clerical,";"Wife,";"White,";"Female,";3103;0;52;"United-States,";">50K"
"55";52;"Local-gov,";152795;"HS-grad,";9;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"56";50;"State-gov,";297551;"HS-grad,";9;"Married-civ-spouse,";"Prof-specialty,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"57";46;"Private,";102542;"7th-8th,";4;"Never-married,";"Other-service,";"Own-child,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"58";54;"Private,";338620;"Masters,";14;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"59";26;"Private,";247006;"HS-grad,";9;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"60";20;"Private,";200450;"7th-8th,";4;"Never-married,";"Machine-op-inspct,";"Own-child,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"61";27;"Private,";176683;"Assoc-acdm,";12;"Never-married,";"Sales,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"62";36;"Private,";207789;"HS-grad,";9;"Divorced,";"Exec-managerial,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"63";36;"Private,";76417;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"64";27;"Private,";193898;"Bachelors,";13;"Divorced,";"Exec-managerial,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"65";28;"Private,";160981;"Some-college,";10;"Never-married,";"Adm-clerical,";"Not-in-family,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"66";28;"Local-gov,";419740;"Bachelors,";13;"Never-married,";"Prof-specialty,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"67";30;"Private,";110643;"Some-college,";10;"Never-married,";"Exec-managerial,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"68";51;"Local-gov,";154891;"HS-grad,";9;"Divorced,";"Protective-serv,";"Unmarried,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"69";25;"Private,";166971;"HS-grad,";9;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"70";38;"Private,";167482;"Some-college,";10;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"71";37;"Private,";150057;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"72";33;"Private,";229051;"Some-college,";10;"Never-married,";"Prof-specialty,";"Not-in-family,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"73";48;"Private,";154033;"HS-grad,";9;"Divorced,";"Sales,";"Not-in-family,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"74";40;"Private,";100292;"HS-grad,";9;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"75";28;"Private,";191088;"HS-grad,";9;"Divorced,";"Other-service,";"Not-in-family,";"White,";"Female,";0;1741;52;"United-States,";"<=50K"
"76";47;"Self-emp-not-inc,";258498;"Some-college,";10;"Married-civ-spouse,";"Other-service,";"Wife,";"White,";"Female,";0;0;52;"United-States,";"<=50K"
"77";41;"Private,";29762;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;52;"United-States,";">50K"
"78";45;"Private,";172822;"HS-grad,";9;"Married-civ-spouse,";"Machine-op-inspct,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"79";36;"Private,";186819;"Assoc-acdm,";12;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;52;"United-States,";"<=50K"
"80";29;"Private,";273051;"Bachelors,";13;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;52;"Yugoslavia,";"<=50K"
"81";64;"Private,";164204;"1st-4th,";2;"Married-civ-spouse,";"Transport-moving,";"Husband,";"White,";"Male,";0;0;53;"?,";"<=50K"
"82";37;"Private,";126743;"1st-4th,";2;"Married-civ-spouse,";"Other-service,";"Husband,";"White,";"Male,";0;0;53;"Mexico,";"<=50K"
"83";27;"Private,";138705;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"84";42;"Private,";193626;"HS-grad,";9;"Married-civ-spouse,";"Adm-clerical,";"Wife,";"White,";"Female,";0;0;53;"United-States,";"<=50K"
"85";30;"Private,";140011;"Assoc-voc,";11;"Married-civ-spouse,";"Handlers-cleaners,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"86";48;"Private,";348144;"Some-college,";10;"Divorced,";"Transport-moving,";"Not-in-family,";"White,";"Male,";3325;0;53;"United-States,";"<=50K"
"87";21;"Private,";83141;"HS-grad,";9;"Never-married,";"Farming-fishing,";"Not-in-family,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"88";26;"Private,";176520;"HS-grad,";9;"Never-married,";"Adm-clerical,";"Not-in-family,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"89";43;"Private,";258049;"Masters,";14;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";7688;0;53;"United-States,";">50K"
"90";43;"Federal-gov,";155106;"Bachelors,";13;"Married-civ-spouse,";"Handlers-cleaners,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"91";22;"Local-gov,";163205;"HS-grad,";9;"Never-married,";"Other-service,";"Own-child,";"White,";"Female,";0;0;53;"United-States,";"<=50K"
"92";46;"Private,";79874;"Bachelors,";13;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;53;"United-States,";">50K"
"93";34;"Private,";399386;"Assoc-voc,";11;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"94";24;"Private,";117167;"Some-college,";10;"Never-married,";"Other-service,";"Not-in-family,";"White,";"Female,";0;0;53;"United-States,";"<=50K"
"95";36;"Local-gov,";223433;"Assoc-voc,";11;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";0;0;53;"United-States,";">50K"
"96";40;"Private,";34987;"Bachelors,";13;"Never-married,";"Sales,";"Not-in-family,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"97";58;"Private,";248739;"HS-grad,";9;"Married-civ-spouse,";"Farming-fishing,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"98";23;"Private,";181820;"HS-grad,";9;"Separated,";"Craft-repair,";"Own-child,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"99";19;"Self-emp-not-inc,";137578;"HS-grad,";9;"Never-married,";"Other-service,";"Own-child,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"100";62;"Private,";123411;"7th-8th,";4;"Married-civ-spouse,";"Transport-moving,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"101";55;"Private,";190257;"HS-grad,";9;"Married-civ-spouse,";"Farming-fishing,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"102";33;"?,";314913;"11th,";7;"Divorced,";"?,";"Own-child,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"103";34;"Local-gov,";31391;"HS-grad,";9;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"104";61;"Self-emp-not-inc,";268831;"HS-grad,";9;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;53;"United-States,";"<=50K"
"105";34;"Self-emp-inc,";207668;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;54;"?,";"<=50K"
"106";34;"Private,";117529;"Some-college,";10;"Married-civ-spouse,";"Farming-fishing,";"Husband,";"White,";"Male,";0;0;54;"Mexico,";"<=50K"
"107";32;"Private,";236543;"12th,";8;"Divorced,";"Protective-serv,";"Own-child,";"White,";"Male,";0;0;54;"Mexico,";"<=50K"
"108";18;"Private,";333611;"5th-6th,";3;"Never-married,";"Other-service,";"Other-relative,";"White,";"Male,";0;0;54;"Mexico,";"<=50K"
"109";51;"Private,";340588;"1st-4th,";2;"Married-civ-spouse,";"Other-service,";"Husband,";"White,";"Male,";0;0;54;"Mexico,";"<=50K"
"110";38;"Private,";430035;"9th,";5;"Married-civ-spouse,";"Farming-fishing,";"Husband,";"White,";"Male,";0;0;54;"Mexico,";"<=50K"
"111";41;"Self-emp-inc,";34987;"Some-college,";10;"Married-civ-spouse,";"Farming-fishing,";"Husband,";"White,";"Male,";0;0;54;"United-States,";">50K"
"112";51;"Private,";302847;"HS-grad,";9;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"113";53;"Private,";156843;"Masters,";14;"Never-married,";"Prof-specialty,";"Not-in-family,";"White,";"Female,";0;1564;54;"United-States,";"<=50K"
"114";32;"Private,";43403;"Some-college,";10;"Divorced,";"Farming-fishing,";"Not-in-family,";"White,";"Female,";0;1590;54;"United-States,";"<=50K"
"115";21;"Private,";305874;"Some-college,";10;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"116";31;"Private,";45604;"HS-grad,";9;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;54;"United-States,";">50K"
"117";41;"Private,";197344;"HS-grad,";9;"Never-married,";"Craft-repair,";"Not-in-family,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"118";54;"Self-emp-inc,";98051;"Some-college,";10;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"119";32;"Private,";168854;"HS-grad,";9;"Married-civ-spouse,";"Other-service,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"120";41;"Private,";195661;"Some-college,";10;"Married-civ-spouse,";"Transport-moving,";"Husband,";"White,";"Male,";0;0;54;"United-States,";">50K"
"121";29;"Private,";101597;"Some-college,";10;"Divorced,";"Sales,";"Unmarried,";"White,";"Female,";0;0;54;"United-States,";"<=50K"
"122";26;"Private,";78424;"Assoc-voc,";11;"Never-married,";"Sales,";"Unmarried,";"White,";"Female,";0;0;54;"United-States,";"<=50K"
"123";34;"Federal-gov,";419691;"Bachelors,";13;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";7298;0;54;"United-States,";">50K"
"124";38;"Private,";172571;"Bachelors,";13;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;1848;54;"United-States,";"<=50K"
"125";23;"Private,";419554;"HS-grad,";9;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"126";20;"State-gov,";39478;"Some-college,";10;"Never-married,";"Exec-managerial,";"Own-child,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"127";63;"?,";222289;"Bachelors,";13;"Married-civ-spouse,";"?,";"Husband,";"White,";"Male,";7688;0;54;"United-States,";">50K"
"128";28;"Private,";185127;"Some-college,";10;"Never-married,";"Tech-support,";"Not-in-family,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"129";46;"Private,";185847;"HS-grad,";9;"Divorced,";"Transport-moving,";"Not-in-family,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"130";56;"Self-emp-inc,";24127;"Assoc-voc,";11;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"131";30;"Private,";97453;"HS-grad,";9;"Divorced,";"Sales,";"Unmarried,";"White,";"Female,";0;0;54;"United-States,";"<=50K"
"132";61;"Private,";477209;"7th-8th,";4;"Married-civ-spouse,";"Farming-fishing,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"133";35;"Private,";198202;"HS-grad,";9;"Never-married,";"Exec-managerial,";"Not-in-family,";"White,";"Female,";0;0;54;"United-States,";"<=50K"
"134";22;"Private,";222993;"HS-grad,";9;"Never-married,";"Prof-specialty,";"Own-child,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"135";53;"Local-gov,";103995;"Bachelors,";13;"Divorced,";"Prof-specialty,";"Not-in-family,";"White,";"Female,";0;1876;54;"United-States,";"<=50K"
"136";53;"Private,";53812;"Some-college,";10;"Widowed,";"Exec-managerial,";"Not-in-family,";"White,";"Female,";0;0;54;"United-States,";"<=50K"
"137";37;"Private,";37778;"Assoc-voc,";11;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"138";44;"Private,";131650;"Assoc-acdm,";12;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;54;"United-States,";">50K"
"139";24;"Private,";186314;"Some-college,";10;"Separated,";"Prof-specialty,";"Own-child,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"140";37;"?,";319685;"Assoc-voc,";11;"Married-civ-spouse,";"?,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"141";29;"Private,";191722;"Some-college,";10;"Married-civ-spouse,";"Protective-serv,";"Husband,";"White,";"Male,";7688;0;54;"United-States,";"<=50K"
"142";54;"Private,";146551;"HS-grad,";9;"Married-civ-spouse,";"Adm-clerical,";"Husband,";"White,";"Male,";0;0;54;"United-States,";"<=50K"
"143";50;"Private,";128378;"5th-6th,";3;"Married-civ-spouse,";"Handlers-cleaners,";"Husband,";"White,";"Male,";0;0;55;"?,";"<=50K"
"144";33;"Private,";164707;"Assoc-acdm,";12;"Never-married,";"Exec-managerial,";"Unmarried,";"White,";"Female,";2174;0;55;"?,";"<=50K"
"145";35;"Private,";188069;"Masters,";14;"Never-married,";"Prof-specialty,";"Not-in-family,";"White,";"Male,";13550;0;55;"?,";">50K"
"146";52;"Private,";84278;"Some-college,";10;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";7688;0;55;"?,";">50K"
"147";28;"Private,";37821;"Assoc-voc,";11;"Never-married,";"Sales,";"Unmarried,";"White,";"Female,";0;0;55;"?,";"<=50K"
"148";30;"Federal-gov,";54684;"Prof-school,";15;"Never-married,";"Exec-managerial,";"Not-in-family,";"White,";"Male,";0;0;55;"?,";">50K"
"149";55;"Private,";175942;"Doctorate,";16;"Married-civ-spouse,";"Prof-specialty,";"Husband,";"White,";"Male,";0;1977;55;"?,";">50K"
"150";27;"Private,";119793;"Some-college,";10;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;55;"?,";"<=50K"
"151";46;"Private,";268022;"Masters,";14;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;55;"?,";">50K"
"152";66;"Private,";115498;"Bachelors,";13;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";99999;0;55;"?,";">50K"
"153";52;"Private,";186303;"Some-college,";10;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";15024;0;55;"Canada,";">50K"
"154";30;"Private,";158002;"Some-college,";10;"Never-married,";"Craft-repair,";"Other-relative,";"White,";"Male,";0;0;55;"Ecuador,";"<=50K"
"155";32;"Private,";158002;"Some-college,";10;"Never-married,";"Machine-op-inspct,";"Other-relative,";"White,";"Male,";0;0;55;"Ecuador,";"<=50K"
"156";50;"Self-emp-not-inc,";44368;"HS-grad,";9;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";15024;0;55;"El-Salvador,";"<=50K"
"157";37;"Private,";218490;"Masters,";14;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;55;"El-Salvador,";">50K"
"158";49;"Private,";50748;"Some-college,";10;"Divorced,";"Sales,";"Unmarried,";"White,";"Female,";0;0;55;"England,";"<=50K"
"159";24;"Private,";43387;"Bachelors,";13;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;55;"England,";">50K"
"160";44;"Private,";207685;"HS-grad,";9;"Never-married,";"Exec-managerial,";"Not-in-family,";"White,";"Male,";0;1564;55;"England,";"<=50K"
"161";51;"Private,";87205;"Bachelors,";13;"Divorced,";"Prof-specialty,";"Unmarried,";"White,";"Female,";0;0;55;"England,";"<=50K"
"162";33;"Self-emp-not-inc,";193246;"HS-grad,";9;"Never-married,";"Exec-managerial,";"Not-in-family,";"White,";"Male,";0;0;55;"France,";"<=50K"
"163";30;"Private,";111415;"HS-grad,";9;"Married-civ-spouse,";"Other-service,";"Husband,";"White,";"Male,";0;0;55;"Germany,";"<=50K"
"164";51;"Private,";183611;"Assoc-acdm,";12;"Divorced,";"Exec-managerial,";"Unmarried,";"White,";"Male,";0;0;55;"Germany,";"<=50K"
"165";40;"Private,";287008;"Prof-school,";15;"Married-civ-spouse,";"Prof-specialty,";"Husband,";"White,";"Male,";15024;0;55;"Germany,";">50K"
"166";32;"Private,";194740;"Some-college,";10;"Married-civ-spouse,";"Craft-repair,";"Husband,";"White,";"Male,";0;0;55;"Greece,";"<=50K"
"167";36;"Private,";82743;"Assoc-acdm,";12;"Never-married,";"Transport-moving,";"Not-in-family,";"White,";"Male,";0;0;55;"Iran,";"<=50K"
"168";35;"Private,";202950;"HS-grad,";9;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;55;"Iran,";"<=50K"
"169";55;"Private,";90414;"Bachelors,";13;"Married-spouse-absent,";"Craft-repair,";"Unmarried,";"White,";"Female,";0;0;55;"Ireland,";"<=50K"
"170";47;"Self-emp-not-inc,";121124;"5th-6th,";3;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";0;0;55;"Italy,";"<=50K"
"171";43;"Private,";144778;"Bachelors,";13;"Married-civ-spouse,";"Prof-specialty,";"Husband,";"White,";"Male,";0;0;55;"Italy,";">50K"
"172";38;"Private,";193815;"Assoc-acdm,";12;"Married-civ-spouse,";"Exec-managerial,";"Husband,";"White,";"Male,";0;0;55;"Italy,";"<=50K"
"173";24;"Private,";258120;"Bachelors,";13;"Never-married,";"Sales,";"Not-in-family,";"White,";"Male,";0;0;55;"Jamaica,";"<=50K"
"174";31;"Private,";273818;"Some-college,";10;"Married-civ-spouse,";"Other-service,";"Husband,";"White,";"Male,";0;0;55;"Mexico,";"<=50K"
"175";24;"Private,";240137;"1st-4th,";2;"Never-married,";"Handlers-cleaners,";"Not-in-family,";"White,";"Male,";0;0;55;"Mexico,";"<=50K"
"176";23;"Private,";240137;"5th-6th,";3;"Never-married,";"Handlers-cleaners,";"Not-in-family,";"White,";"Male,";0;0;55;"Mexico,";"<=50K"
"177";32;"Self-emp-inc,";275094;"Bachelors,";13;"Married-civ-spouse,";"Sales,";"Husband,";"White,";"Male,";7688;0;55;"Mexico,";">50K"
"178";23;"Private,";240137;"5th-6th,";3;"Never-married,";"Handlers-cleaners,";"Not-in-family,";"White,";"Male,";0;0;55;"Mexico,";"<=50K"
"179";19;"Private,";340567;"1st-4th,";2;"Never-married,";"Handlers-cleaners,";"Not-in-family,";"White,";"Male,";0;0;55;"Mexico,";"<=50K"
